ProjectName,Approach,Threshold,Precision,Recall,F1,F2
WARC,VSM,0.61,0.056,0.044,0.049,0.046
WARC,VSM,0.92,0.053,0.037,0.043,0.039
WARC,VSM,0.9,0.053,0.037,0.043,0.039
WARC,VSM,0.88,0.052,0.037,0.043,0.039
WARC,VSM,0.91,0.053,0.037,0.043,0.039
WARC,VSM,0.89,0.053,0.037,0.043,0.039
WARC,VSM,0.7,0.048,0.037,0.042,0.039
WARC,VSM,0.85,0.05,0.037,0.042,0.039
WARC,VSM,0.76,0.049,0.037,0.042,0.039
WARC,VSM,0.78,0.049,0.037,0.042,0.039
WARC,VSM,0.8,0.049,0.037,0.042,0.039
WARC,VSM,0.87,0.05,0.037,0.042,0.039
WARC,VSM,0.83,0.05,0.037,0.042,0.039
WARC,VSM,0.79,0.049,0.037,0.042,0.039
WARC,VSM,0.68,0.048,0.037,0.042,0.039
WARC,VSM,0.69,0.048,0.037,0.042,0.039
WARC,VSM,0.75,0.049,0.037,0.042,0.039
WARC,VSM,0.82,0.05,0.037,0.042,0.039
WARC,VSM,0.67,0.048,0.037,0.042,0.039
WARC,VSM,0.72,0.048,0.037,0.042,0.039
WARC,VSM,0.81,0.049,0.037,0.042,0.039
WARC,VSM,0.71,0.048,0.037,0.042,0.039
WARC,VSM,0.77,0.049,0.037,0.042,0.039
WARC,VSM,0.73,0.048,0.037,0.042,0.039
WARC,VSM,0.84,0.05,0.037,0.042,0.039
WARC,VSM,0.86,0.05,0.037,0.042,0.039
WARC,VSM,0.74,0.049,0.037,0.042,0.039
WARC,VSM,0.63,0.047,0.037,0.041,0.039
WARC,VSM,0.65,0.047,0.037,0.041,0.039
WARC,VSM,0.64,0.047,0.037,0.041,0.039
WARC,VSM,0.66,0.047,0.037,0.041,0.039
WARC,VSM,0.01,0.021,0.978,0.04,0.097
WARC,VSM,0.98,0.043,0.029,0.035,0.031
WARC,VSM,0.96,0.043,0.029,0.035,0.031
WARC,VSM,0.94,0.043,0.029,0.035,0.031
WARC,VSM,0.93,0.043,0.029,0.035,0.031
WARC,VSM,0.95,0.043,0.029,0.035,0.031
WARC,VSM,0.97,0.043,0.029,0.035,0.031
WARC,VSM,0.99,0.033,0.022,0.026,0.024
WARC,VSM,0,0.01,1,0.02,0.048
WARC,VSM,1,0,0,0,#DIV/0!
